address,candidate_pool,source_signal,explorer_url,top_archetype,top_score,is_scripted,cluster_label,touches_cellbase_directly,wallet_status,verified_label,verified_notes,verified_by,verified_date
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdh26mj0xls204ndg9lsdptdz0zu0jdmycngh5ht,miner_exchange_candidate,outlier distance_z=1061.1 worst_feature=unique_counterparties_out,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdh26mj0xls204ndg9lsdptdz0zu0jdmycngh5ht,IRREGULAR_ACTIVITY,0.7430887966251942,True,Outlier_Excluded,False,active,,,,
ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw,miner_exchange_candidate,outlier distance_z=955.0 worst_feature=unique_counterparties_out,https://explorer.nervos.org/address/ckb1qqcratfhhe0whl8n2pyyw9248r9kyw3x7gmkp80jf0ffvagvzgc8sqgdzm4fw,IRREGULAR_ACTIVITY,0.8310846565155953,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0z3cryxyjf4df3u2p4t4t2ujzhwa74wpga7me7t,miner_exchange_candidate,outlier distance_z=513.6 worst_feature=unique_counterparties_out,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0z3cryxyjf4df3u2p4t4t2ujzhwa74wpga7me7t,BATCH_DISTRIBUTION,0.9872364391600156,True,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfc5kszzn9mc2zycl58v8jjrk9zhmr97cg3ndvfs,miner_exchange_candidate,outlier distance_z=423.8 worst_feature=unique_counterparties_out,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqfc5kszzn9mc2zycl58v8jjrk9zhmr97cg3ndvfs,ROUND_TRIP,0.8064748419609847,True,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2gxfhv94tp8sc29c5xhsuttgk4hhpp2nq2mt7ff,miner_exchange_candidate,outlier distance_z=373.6 worst_feature=unique_counterparties_in,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2gxfhv94tp8sc29c5xhsuttgk4hhpp2nq2mt7ff,IRREGULAR_ACTIVITY,0.8007305074701184,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdmvgx9866nn68gsfshgy660unf97wzfcgcxrvec,miner_exchange_candidate,outlier distance_z=319.4 worst_feature=unique_counterparties_in,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqdmvgx9866nn68gsfshgy660unf97wzfcgcxrvec,IRREGULAR_ACTIVITY,0.6963147916021554,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd9ec9tr57qedasftglxrgq9yl657ym3yqddeg6p,miner_exchange_candidate,outlier distance_z=281.8 worst_feature=unique_counterparties_in,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd9ec9tr57qedasftglxrgq9yl657ym3yqddeg6p,IRREGULAR_ACTIVITY,0.8061574576661059,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2ul0rt55hnp2e2nzzhfkep4xtc3l88rxqes83vq,miner_exchange_candidate,outlier distance_z=241.9 worst_feature=unique_counterparties_in,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq2ul0rt55hnp2e2nzzhfkep4xtc3l88rxqes83vq,IRREGULAR_ACTIVITY,0.7947900838330302,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd7w5u492rs93nr0e0086myx8qdknytcmsw3hx46,miner_exchange_candidate,outlier distance_z=233.2 worst_feature=unique_counterparties_out,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqd7w5u492rs93nr0e0086myx8qdknytcmsw3hx46,IRREGULAR_ACTIVITY,0.5925561060167487,False,Outlier_Excluded,False,active,,,,
ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgjdw5vq6y0me78r46vf29flspd83qy9us3p3jgp,miner_exchange_candidate,outlier distance_z=210.7 worst_feature=unique_counterparties_in,https://explorer.nervos.org/address/ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsqgjdw5vq6y0me78r46vf29flspd83qy9us3p3jgp,FAN_IN_COLLECTION,0.9728074914460652,True,Outlier_Excluded,False,active,,,,
