capacity__mean_target_input_capacity_shannon,capacity__mean_target_output_capacity_shannon,capacity__median_abs_target_delta_shannon,capacity__target_input_capacity_shannon,capacity__target_net_capacity_delta_shannon,capacity__target_output_capacity_shannon,rule__BATCH_DISTRIBUTION__score,rule__FAN_IN_COLLECTION__score,rule__PERIODIC_EXECUTION__score,scripts__cells_with_full_script,scripts__total_cells,templates__dominant_template_ratio,templates__template_entropy,templates__template_repeat_ratio,templates__template_transition_entropy,templates__unique_template_count,temporal__active_hour_entropy,temporal__active_weekday_entropy,temporal__burstiness,temporal__dominant_period_seconds,temporal__interarrival_cv,temporal__interarrival_mean_seconds,temporal__interarrival_median_seconds,temporal__interarrival_std_seconds,temporal__interval_repeat_ratio,temporal__n_observed_transactions,temporal__periodicity_strength,temporal__phase_stability,topology__cell_consolidation_ratio,topology__cell_fragmentation_ratio,topology__fanin_transaction_ratio,topology__fanout_transaction_ratio,topology__many_to_many_ratio,topology__max_input_cells_per_tx,topology__max_output_cells_per_tx,topology__mean_external_input_locks,topology__mean_external_output_locks,topology__mean_input_cells_per_tx,topology__mean_output_cells_per_tx,topology__topology_entropy,topology__topology_repeat_ratio,transaction_count_30d
1901188205183.7778,1880851301412.5557,1551801903137.0,34221387693308,-366064267882,33855323425426,0.3333333333333333,0.0,0.0,72,144,0.05555555555555555,4.169925001442312,0.0,4.087462841250339,18,0.20599700303277274,-0.0,0.46822128095756566,120,2.760962837327091,68071.11111111111,120,187941.808073341,0.1111111111111111,18,0.611606200591592,0.14880334966187456,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5,0.4444444444444444,10,5,1.7777777777777777,1.8888888888888888,4.333333333333333,3.6666666666666665,0.8125214573444728,0.4444444444444444,18
8783158160.4,8783157218.4,6300000942.0,263494744812,-28260,263494716552,0.6666666666666666,0.3333333333333333,1.0,0,120,0.26666666666666666,1.9967916319816368,1.0,1.9974826032927555,4,0.25016493498306364,0.9972309552488496,-0.6135439684226063,86188,0.23950759269063576,86343.13793103448,86188,20679.83711121759,0.7931034482758621,30,0.9800594801490189,0.8755852636975128,0.0,0.0,0.0,0.5,0.0,2,2,0.5,1,2,2,1.0,0.5,30
4377237461.5,4377235740.5,8754473202.0,131317123845,-51630,131317072215,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,60,0.5,1.0,1.0,0.9991421039919088,2,0.6720216208278665,0.9972309552488496,-0.7518804122776293,88355,0.14163043663453564,86444.79310344828,88355,12243.213792023475,0.41379310344827586,30,0.9310003080045386,0.4537189118932207,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.5,1,1,1.0,0.5,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53195728363209.45,48918566498066.37,20000000001882,585153011995304,-47048780516574,538104231478730,0.3333333333333333,0.3333333333333333,0.0,0,41,0.18181818181818182,3.2776134368191157,0.18181818181818182,3.3219280948873626,10,0.5809279256668544,0.6375856010390379,0.04303143882889826,76636.0,1.0899328161339763,180632.7,76636.0,196877.5073968837,0.0,11,0.46982469814880873,0.24653370622056608,0.0,0.6363636363636364,0.09090909090909091,0.8181818181818182,0.09090909090909091,2,7,0.2727272727272727,1.4545454545454546,1.2727272727272727,2.4545454545454546,0.7455574250275928,0.6363636363636364,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37500000000,37500000000,75000000000.0,75000000000,0,75000000000,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
37500000000,37500000000,75000000000.0,75000000000,0,75000000000,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
37500000000,37500000000,75000000000.0,75000000000,0,75000000000,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
37500000000,37500000000,75000000000.0,75000000000,0,75000000000,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
